MBT5me,Temp
0.75,14.2
0.65,19.1
0.95,22.5
0.94,25.9
0.96,25.9
0.93,21
0.97,25.6
0.97,22.3
0.94,21.2
0.92,24.5
0.62,6.6
0.45,3
0.53,9.7
0.96,21.1
0.93,25.1
0.92,16.2
0.9,16.5
0.88,15
0.93,17.9
0.94,19.3
0.91,15.4
0.84,13.9
0.89,17.6
0.69,12.3
0.83,12.3
0.85,11.8
0.64,11.6
0.72,11.3
0.59,11.1
0.58,11
0.66,10.8
0.53,10.7
0.56,10.6
0.48,10.3
0.59,10.1
0.52,10
0.53,9.7
0.56,9.6
0.44,9.4
0.5,9.3
0.48,9.1
0.5,8.7
0.68,7.8
0.47,7.6
0.6,7.3
0.51,6.5
0.46,6.2
0.48,5.6
0.36,5.5
0.42,5.1
0.6,4.9
0.32,4.9
0.44,4.6
0.35,4.4
0.42,1
0.4,0.4
0.4,0
0.88,20.2
0.98,25.6
0.99,25.9
0.7,9.2
0.95,25
0.97,24.9
0.94,13.5
1,13.5
0.71,1.9
0.49,7.4
0.43,8.2
0.47,12.6
0.46,9.7
0.48,12.2
0.45,12.1
0.52,12.1
0.45,16.1
0.45,8.5
0.49,8.2
0.67,16.2
0.53,16.2
0.48,16.2
0.67,16.2
0.5,16.2
0.55,16.2
0.55,16.2
0.78,16.2
0.66,16.2
0.51,16.2
0.49,17.7
0.43,16.2
0.41,16.2
0.66,10
0.41,4
0.43,7.3
0.44,8.4
0.52,12.7
0.52,8.4
0.9,25.4
0.99,24.2
0.99,24.3
0.98,25.7
0.98,23.7
0.96,25.8
0.93,21.8
0.57,3.6
0.32,5.2
0.47,8.9
0.99,27.1
0.57,16.3
0.6,16.3
0.46,-0.1
0.46,2.1
0.38,4
0.58,8.9
0.69,13.9
0.62,15.4
0.64,15.4
0.67,17.3
0.59,9
0.63,10.2
0.57,10.2
0.99,26.4
0.92,26.9
0.45,5.3
0.57,4.3
1,26.5
0.96,25.3
1,26.5
0.99,26.5
0.95,26.5
0.51,6.1
0.99,26.9
0.87,18
0.91,19.4
0.91,18
0.92,19.4
0.58,14.2
0.49,14.2
0.33,-3.3
0.46,-3.3
0.36,-3.3
0.41,-3.3
0.41,-3.3
0.4,-3.3
0.25,-3.3
0.26,-3.3
0.4,-3.3
0.57,1.9
0.69,1.3
0.52,8
0.52,6
0.58,10.2
0.51,10.2
0.58,10.2
0.56,10.2
0.72,11
0.89,12.3
0.89,23.6
0.89,17.6
0.88,18.4
0.94,19.1
0.77,11.4
0.39,-3.7
0.65,5.9
0.61,5.9
0.65,9
0.5,8.3
0.37,-3.6
0.41,-3.6
0.38,10.1
0.38,10.1
0.74,6.8
0.63,6
0.71,6
0.79,6
0.81,15.7
0.82,15.7
0.82,15.7
0.7,18.2
0.42,6.3
0.53,9.6
0.76,15.7
0.77,15.7
0.45,-0.7
0.55,-0.7
0.46,10.8
0.69,7.6
0.72,9.8
0.53,5.9
0.63,9.7
0.59,9.7
0.66,9.7
0.64,9.7
0.53,4
0.51,4
0.71,12.7
0.77,12.7
0.95,24.2
0.82,15.3
1,20.3
0.36,5.4
0.36,5.4
0.63,8.4
0.52,9.6
0.6,8.2
0.48,7
0.58,3.7
0.45,8.2
0.81,19.4
0.8,19.4
0.37,11.2
0.94,13.5
0.27,1.1
0.29,1.1
0.5,12.4
0.4,1.1
0.37,14.3
0.42,14.3
0.3,14.3
0.86,13.4
0.81,13.4
0.42,13.4
0.78,13.4
0.47,3.4
0.48,3.4
0.77,9.8
0.92,24.3
0.98,24.3
0.55,-3.1
0.29,-3.9
0.5,0.9
0.44,3.2
0.72,1.2
0.75,7.6
0.43,-2.6
0.5,4.5
0.68,5.5
0.73,6.1
0.58,-4
0.4,-4.4
0.46,-2.4
0.67,5.6
0.32,-1.6
0.78,5.8
0.49,-3.2
0.55,4.7
0.45,4.6
0.48,5
0.41,5
0.72,7.6
0.68,3.2
0.83,2.8
0.76,6.9
0.47,2
0.79,7.7
0.39,2
0.4,-1.2
0.53,-1.3
0.24,-0.9
0.44,-2.6
0.22,3.2
0.47,0.3
0.29,-6
0.28,-5
0.21,-6.2
0.3,-4
0.56,7.9
0.44,2.5
0.41,2.5
0.46,-1.6
0.46,-1.6
0.47,-1.6
0.33,0
0.49,-1.6
0.4,2.5
0.32,0
0.32,-1.6
0.35,-3.2
0.36,0.1
0.39,2.5
0.37,0
0.44,-1.6
0.52,7.6
0.45,7.6
0.47,8.5
0.48,8.5
0.45,8.5
0.47,8.5
0.55,9.2
0.52,9.2
0.53,9.2
0.54,9.9
0.58,9.9
0.69,10.7
0.62,10.7
0.59,10.7
0.73,11.1
0.65,11.3
0.63,11.3
0.78,12.6
0.73,12.8
0.69,12.8
0.79,13.9
0.77,13.9
0.79,13.9
0.83,14.4
0.85,14.4
0.63,9.9
0.72,15.2
0.76,15.2
0.76,15.2
0.65,14.5
0.72,14.5
0.81,13.7
0.79,13.7
0.89,13.7
0.77,13.7
0.85,15.1
0.82,15.1
0.77,15.1
0.78,15.1
0.84,7.5
0.74,7
0.84,7
0.77,7
0.83,7
0.87,12.7
0.82,14.8
0.88,14.8
0.84,12.7
0.84,12.7
0.79,12.7
0.81,12.7
0.81,12.7
0.84,13.6
0.78,13
0.8,13.6
0.88,13
0.87,13
0.79,13
0.81,13
0.83,13
0.75,13
0.82,13
0.85,13
0.79,13
0.79,13
0.86,13
0.88,14.8
0.81,13
0.87,12.7
0.83,14.1
