MBT5me,Temp
0.867426142,26.8
0.243477333,9.6
0.482083249,12.8
0.204221863,4.2
0.205426838,4.2
0.679328675,24
0.240766525,5.4
0.738868985,24.6
0.539017438,25.1
0.684452778,15.6
0.176571793,6.3
0.242655247,5.1
0.210260918,5.2
0.140493253,3.7
0.213242352,5.6
0.217311905,4.9
0.729173042,23.8
0.090757292,1.6
0.68894153,23.5
0.741708468,21.2
0.721433616,22.5
0.705219684,22.8
0.713643472,22.5
0.740005003,22.3
0.725444901,21.6
0.218613142,5.5
0.670720965,21.1
0.76025383,23.3
0.798581557,23.1
0.175280978,4
0.804327439,24.3
0.749623767,22.5
0.780957372,23.5
0.38531986,10.1
0.317183445,6
0.218548243,4.5
0.200318134,5.4
0.36593845,10
0.319575601,20.5
0.729790834,22.5
0.64209066,24.5
0.172527897,5.1
0.703425676,23.7
0.819737663,23.6
0.714234353,22.5
0.647580772,21.2
0.242903899,5
0.681507366,22.9
0.706258534,21.1
0.716989559,20.5
0.676127815,20.7
0.687854998,22.5
0.830618506,24.5
0.712112785,21.2
0.19208374,5.6
0.150358184,2.4
0.425511912,12
0.263794103,6
0.251681145,4.1
0.803111458,23.8
0.283013525,6
0.192695216,5.8
0.160076813,6
0.78443025,23.1
0.785066042,23.1
