Lab ID,Core,CoreTopDepth,SampleThickness,CompositeDepth,SedMass_g,HPLCID,d13C,%Cwt,d15N,%Nwt,C/N,Age_yr,Std_ug,GDGT-0,GDGT-1,GDGT-2,GDGT-3,GDGT-4,GDGT-4',brGDGT-IIIa-5Me,brGDGT-IIIa-6Me,brGDGT-IIIb-5Me,brGDGT-IIIb-6Me,brGDGT-IIIc-5Me,brGDGT-IIIc-6Me,brGDGT-IIa-5Me,brGDGT-IIa-6Me,brGDGT-IIb-5Me,brGDGT-IIb-6Me,brGDGT-IIc-5Me,brGDGT-IIc-6Me,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,IntStd,LCA37:4,LCA37:3a,LCA37:3b,LCA37:2,BayMBT_low,BayMBT,BayMBT_high
AC036,16GUS-B1A,0,0.5,0,0.38411,H1711000094,-27.20243451,9.75525218,1.999387004,0.856498711,11.38968694,-67,0.1,450876,11711.7,5394.71875,1320.04822,36000.4,832.08521,3246620,479331,26068.1,0,4731.14453,0,3117560,898297,121796,31408.1,28269,0,1942970,122512,22790.3,657424,239,106,95,14,1.836037683,7.416128461,13.35565365
AC006,16GUS-B1A,2,0.5,2,0.49941,H1801000039,-27.17575856,9.669624406,2.612478965,0.702849776,13.7577399,-52,0.1,621193,17648,7674.27393,1697.12,50420.1,1148.19751,4832910,790554,40202.4,14439.3,6818.01953,0,4506090,1435750,202381,57297.9,41065.3,0,2819840,177313,34487.3,NA,149.5,55,52,4.5,0.41218943,4.562113357,10.28087442
AC086,16GUS-B1A,7.5,0.5,7.5,0.39236,H1801000154,-27.58248015,9.432249856,3.592302061,0.584286479,16.14319379,-15,0.1,345014,26379.2,14842.4,3755.75635,135247,2743.38428,3711900,540705,27498.4,12337.5,6659.83398,0,4035750,928089,180459,50182.3,38956.9,0,2562090,169664,30177.3,738793,,,,,0.524341013,5.41910448,10.95397046
AC076,16GUS-B1A,14,0.5,14,0.38221,H1711000106,-27.04062875,8.783079775,3.276876643,0.554993763,15.82554681,78,0.1,281622,22359.7,15032.1,3035.65527,140777,2898.12598,2276430,339492,20441.1,8353.58398,4083.61523,0,2491970,591155,120297,35890.8,24569,0,1661170,120289,21034,528516,,,,,0.953006076,6.106315207,11.83431385
AC025,16GUS-B1A,20.5,0.5,20.5,0.29748,H1801000042,-27.40752011,11.35932939,3.609441759,0.679466581,16.71801044,198,0.1,502447,28981.4,17669.5,4529.69727,162566,3242.72046,4316390,505372,69339.3,29641.8,2298.5686,0,5179170,996634,195062,48181.2,46190.7,0,3336230,186788,30627.5,899277,,,,,1.34045566,6.509176795,11.8098486
AC088,16GUS-B1A,28.5,0.5,28.5,0.35197,H1801000155,-27.20971368,9.597592215,3.346111468,0.610178097,15.72916542,345,0.1,391871,33913.6,20156.8,4584.3623,176627,3354.29346,4566980,550177,27660.7,10817.3,7902.47803,0,5825830,1036070,206128,56092.4,53596.6,0,3613260,222984,36802.5,856579,,,,,1.423936738,6.752598846,12.31488942
AC093,16GUS-B1A,37,0.5,37,0.29249,H1711000111,-27.27939421,10.40062657,3.345158861,0.571003703,18.21463946,489,0.1,289040,22621.6,12741.5,3144.46558,121435,2184.05444,2456890,294132,18052.6,9420.75391,3226.67407,0,3034700,622328,119201,29457,25614.8,0,1918920,125258,19547.4,472034,,,,,2.670345272,7.626617175,12.87338
AC007,16GUS-B1A,46,0.5,46,0.31422,H1801000041,-26.92075875,8.90567926,3.498415708,0.549264165,16.21383632,647,0.1,327437,28680,20089.7,4777.77783,178833,3166.85278,3040890,416400,31775.2,14305.1,0,0,3487250,739077,161919,38815.7,30282.7,0,2223960,156614,24503.6,NA,35,14,12,1,1.976190334,7.591840559,13.25442166
AC089,16GUS-B1A,53.5,0.5,53.5,0.38083,H1801000156,-27.43093718,7.744617708,3.8189853,0.520363738,14.88308494,757,0.1,408383,29405.2,19730.4,4333.79541,166145,3226.86548,3513670,456149,24300.4,11753.3,8059.85107,0,4022870,905674,213247,46802,40338.4,0,2769870,237867,35438.9,795102,,,,,1.724175979,6.856748648,12.75010674
AC043,16GUS-B1B,8,0.5,62,0.27976,H1711000096,-27.14348797,8.697674031,2.683946328,0.612931839,14.19027938,872,0.1,166780,11579.1,8436.31836,1567.60718,67811.7,1118.87793,1480320,204747,11353.8,6213.4248,3527.76611,0,1510160,393742,93832.5,22385.4,17368.7,0,1037340,93103.7,16523,460604,14,8,7,2,1.566967827,6.805766871,12.87333006
